fold,feature,coefficient,abs_coefficient,direction
5,avg_Gustatory_sensorimotor,0.9503696378110205,0.9503696378110205,positive
5,avg_Interoceptive_sensorimotor,-0.4947815611636934,0.4947815611636934,negative
5,avg_Foot_leg_sensorimotor,-0.17031366586154795,0.17031366586154795,negative
5,avg_Hand_arm_sensorimotor,-0.4096924214693694,0.4096924214693694,negative
5,avg_Head_sensorimotor,0.5027957479576945,0.5027957479576945,positive
5,avg_Mouth_sensorimotor,-0.5898582796440481,0.5898582796440481,negative
5,avg_valence,0.6656673975008205,0.6656673975008205,positive
5,avg_dominance,-0.3915550678702357,0.3915550678702357,negative
5,sentiment_score,0.035223372584886906,0.035223372584886906,positive
5,n_noun,-0.7582497424929612,0.7582497424929612,negative
5,n_verb,0.3377410283757429,0.3377410283757429,positive
5,n_adv,0.3642535452234276,0.3642535452234276,positive
5,n_pron,0.18664554978515985,0.18664554978515985,positive
5,n_intj,0.8167702499294326,0.8167702499294326,positive
5,n_det,-0.2962728445448884,0.2962728445448884,negative
5,n_adj,0.4888388622894915,0.4888388622894915,positive
5,n_aux,0.9258916529278878,0.9258916529278878,positive
5,n_VERB_Tense_Past,0.6196402308834849,0.6196402308834849,positive
5,n_adjacent_repetitions,0.3808524347473561,0.3808524347473561,positive
5,aux_verb_ratio,0.2107707432882879,0.2107707432882879,positive
5,particle_verb_ratio,0.8436278681830789,0.8436278681830789,positive
