fold,feature,coefficient,abs_coefficient,direction
3,avg_Interoceptive_sensorimotor,0.15570630384505776,0.15570630384505776,positive
3,avg_Olfactory_sensorimotor,0.23716799556533177,0.23716799556533177,positive
3,avg_Hand_arm_sensorimotor,-0.0876888189675809,0.0876888189675809,negative
3,avg_Head_sensorimotor,0.4762144106722169,0.4762144106722169,positive
3,avg_Mouth_sensorimotor,-0.5646521912406489,0.5646521912406489,negative
3,sentiment_score,-0.6441732664196878,0.6441732664196878,negative
3,n_verb,-0.8288690964047715,0.8288690964047715,negative
3,n_adv,0.39366038040816637,0.39366038040816637,positive
3,n_intj,-0.03895184568143651,0.03895184568143651,negative
3,n_det,-0.22994962181175443,0.22994962181175443,negative
3,n_aux,-0.4015616121397461,0.4015616121397461,negative
3,n_num,-0.2685550479593149,0.2685550479593149,negative
3,n_VERB_Tense_Past,0.14682172855334724,0.14682172855334724,positive
3,n_adjacent_repetitions,0.8941550797951051,0.8941550797951051,positive
3,noun_verb_ratio,-0.9839673028988042,0.9839673028988042,negative
3,det_noun_ratio,-0.46196294211077715,0.46196294211077715,negative
3,aux_verb_ratio,-0.6948827233245547,0.6948827233245547,negative
4,avg_word_length,-0.6513265708055619,0.6513265708055619,negative
4,n_polysyllables,-0.012504616258787772,0.012504616258787772,negative
4,n_monosyllables,0.41790103939748374,0.41790103939748374,positive
4,tokens_per_sentence,-0.14258941195068853,0.14258941195068853,negative
4,avg_aoa,-0.2588352121344571,0.2588352121344571,negative
4,avg_concreteness,0.508594582630689,0.508594582630689,positive
4,n_low_concreteness,0.760195380313394,0.760195380313394,positive
4,n_low_synsets,0.06793974431995319,0.06793974431995319,positive
4,avg_Auditory_sensorimotor,0.09084291339836664,0.09084291339836664,positive
4,avg_Gustatory_sensorimotor,0.3634087151865575,0.3634087151865575,positive
4,avg_Interoceptive_sensorimotor,0.22863670416593498,0.22863670416593498,positive
4,avg_Olfactory_sensorimotor,0.9429868831850682,0.9429868831850682,positive
4,avg_Foot_leg_sensorimotor,-0.5772779156181673,0.5772779156181673,negative
4,avg_Hand_arm_sensorimotor,-0.10637310932467405,0.10637310932467405,negative
4,avg_Mouth_sensorimotor,-0.5839003617166668,0.5839003617166668,negative
4,avg_valence,0.16529141065976144,0.16529141065976144,positive
4,avg_dominance,-0.12678213299043334,0.12678213299043334,negative
4,sentiment_score,-1.0122480392696167,1.0122480392696167,negative
4,n_adv,1.0157252764136857,1.0157252764136857,positive
4,n_pron,0.23459961101281884,0.23459961101281884,positive
4,n_intj,0.6974076534421544,0.6974076534421544,positive
4,n_det,-0.2989723563567111,0.2989723563567111,negative
4,n_adj,-0.27079177352288925,0.27079177352288925,negative
4,n_aux,-0.28728271512491965,0.28728271512491965,negative
4,n_num,-0.24698023295918897,0.24698023295918897,negative
4,n_VERB_Tense_Past,0.8058928715187604,0.8058928715187604,positive
4,n_adjacent_repetitions,0.9337218847887445,0.9337218847887445,positive
4,noun_verb_ratio,-0.22499199710007237,0.22499199710007237,negative
4,det_noun_ratio,-0.31511350760476176,0.31511350760476176,negative
4,aux_verb_ratio,-0.4298077428166643,0.4298077428166643,negative
5,avg_word_length,-1.2520736722304673,1.2520736722304673,negative
5,n_monosyllables,0.40818279852877765,0.40818279852877765,positive
5,n_lemmas,-0.5204949418512985,0.5204949418512985,negative
5,tokens_per_sentence,-0.65204624476191,0.65204624476191,negative
5,avg_aoa,-0.04720445072450751,0.04720445072450751,negative
5,avg_concreteness,-0.19725671071871348,0.19725671071871348,negative
5,n_low_concreteness,0.35468032580823156,0.35468032580823156,positive
5,n_low_synsets,0.38483768387635214,0.38483768387635214,positive
5,avg_Auditory_sensorimotor,0.2328907324568384,0.2328907324568384,positive
5,avg_Olfactory_sensorimotor,0.3946570317135761,0.3946570317135761,positive
5,avg_Hand_arm_sensorimotor,-0.09908867052894503,0.09908867052894503,negative
5,avg_Head_sensorimotor,0.09478137713133593,0.09478137713133593,positive
5,avg_Mouth_sensorimotor,-0.4472519873811371,0.4472519873811371,negative
5,avg_valence,0.17703902938317181,0.17703902938317181,positive
5,avg_dominance,0.23082490057788918,0.23082490057788918,positive
5,sentiment_score,-1.1130689404172658,1.1130689404172658,negative
5,n_verb,-0.07362840146226192,0.07362840146226192,negative
5,n_adv,0.730648859276541,0.730648859276541,positive
5,n_intj,0.12274032437446447,0.12274032437446447,positive
5,n_adj,0.3452817580855939,0.3452817580855939,positive
5,n_part,0.45962403866848306,0.45962403866848306,positive
5,n_aux,-1.2477068396321542,1.2477068396321542,negative
5,n_adjacent_repetitions,0.617252429118177,0.617252429118177,positive
5,det_noun_ratio,-0.06723308608678373,0.06723308608678373,negative
5,aux_verb_ratio,-0.16872093639972585,0.16872093639972585,negative
