fold,feature,coefficient,direction,experiment,feature_set
5,avg_Mouth_sensorimotor,-0.20242807647494437,negative,cross_domain_cv,shared_features
5,avg_valence,0.4170233235994105,positive,cross_domain_cv,shared_features
5,avg_word_length,-1.2475786403850346,negative,cross_domain_cv,shared_features
5,n_VERB_Tense_Past,0.028143655553675956,positive,cross_domain_cv,shared_features
5,n_adjacent_repetitions,0.3953579547602584,positive,cross_domain_cv,shared_features
5,n_adv,0.08888482223589704,positive,cross_domain_cv,shared_features
5,n_aux,0.5572665926663236,positive,cross_domain_cv,shared_features
5,n_low_synsets,0.780377313226762,positive,cross_domain_cv,shared_features
1,aux_verb_ratio,-0.044574253936542636,negative,cross_domain_cv,shared_relaxed_features
1,avg_Auditory_sensorimotor,0.33748983900158797,positive,cross_domain_cv,shared_relaxed_features
1,avg_Head_sensorimotor,-0.2810373508694084,negative,cross_domain_cv,shared_relaxed_features
1,avg_Mouth_sensorimotor,-0.1830035503286867,negative,cross_domain_cv,shared_relaxed_features
1,avg_valence,0.5668984326774434,positive,cross_domain_cv,shared_relaxed_features
1,avg_word_length,-1.067496968054048,negative,cross_domain_cv,shared_relaxed_features
1,n_VERB_Tense_Past,0.01666646820888969,positive,cross_domain_cv,shared_relaxed_features
1,n_adjacent_repetitions,0.2122834725989442,positive,cross_domain_cv,shared_relaxed_features
1,n_adv,0.24269669158915372,positive,cross_domain_cv,shared_relaxed_features
1,n_aux,0.6242558370781724,positive,cross_domain_cv,shared_relaxed_features
1,n_low_synsets,0.7197748290203982,positive,cross_domain_cv,shared_relaxed_features
2,aux_verb_ratio,0.25286094129265657,positive,cross_domain_cv,shared_relaxed_features
2,avg_Auditory_sensorimotor,0.41690953722642926,positive,cross_domain_cv,shared_relaxed_features
2,avg_Head_sensorimotor,-0.17537566404638782,negative,cross_domain_cv,shared_relaxed_features
2,avg_Mouth_sensorimotor,-0.2935138761776653,negative,cross_domain_cv,shared_relaxed_features
2,avg_valence,0.5653104814819864,positive,cross_domain_cv,shared_relaxed_features
2,avg_word_length,-1.2302202033833836,negative,cross_domain_cv,shared_relaxed_features
2,n_VERB_Tense_Past,0.27545013012095415,positive,cross_domain_cv,shared_relaxed_features
2,n_adjacent_repetitions,0.36943912250845473,positive,cross_domain_cv,shared_relaxed_features
2,n_adv,0.115709018141245,positive,cross_domain_cv,shared_relaxed_features
2,n_aux,0.37365742079163855,positive,cross_domain_cv,shared_relaxed_features
2,n_low_synsets,0.7913419681370947,positive,cross_domain_cv,shared_relaxed_features
3,aux_verb_ratio,0.095814623878334,positive,cross_domain_cv,shared_relaxed_features
3,avg_Auditory_sensorimotor,0.31090137289038733,positive,cross_domain_cv,shared_relaxed_features
3,avg_Head_sensorimotor,-0.11934256303432902,negative,cross_domain_cv,shared_relaxed_features
3,avg_Mouth_sensorimotor,-0.17710844917169558,negative,cross_domain_cv,shared_relaxed_features
3,avg_valence,0.4157167144045837,positive,cross_domain_cv,shared_relaxed_features
3,avg_word_length,-0.9852361838117427,negative,cross_domain_cv,shared_relaxed_features
3,n_VERB_Tense_Past,-0.03853639388549288,negative,cross_domain_cv,shared_relaxed_features
3,n_adjacent_repetitions,0.35405095515884,positive,cross_domain_cv,shared_relaxed_features
3,n_adv,0.10292467860887657,positive,cross_domain_cv,shared_relaxed_features
3,n_aux,0.582680948468011,positive,cross_domain_cv,shared_relaxed_features
3,n_low_synsets,0.6883569808143833,positive,cross_domain_cv,shared_relaxed_features
4,aux_verb_ratio,0.09024632271712357,positive,cross_domain_cv,shared_relaxed_features
4,avg_Auditory_sensorimotor,0.2915599631005183,positive,cross_domain_cv,shared_relaxed_features
4,avg_Head_sensorimotor,-0.21511832001088288,negative,cross_domain_cv,shared_relaxed_features
4,avg_Mouth_sensorimotor,-0.12720807238865617,negative,cross_domain_cv,shared_relaxed_features
4,avg_valence,0.4739568076378273,positive,cross_domain_cv,shared_relaxed_features
4,avg_word_length,-1.3355075408400732,negative,cross_domain_cv,shared_relaxed_features
4,n_VERB_Tense_Past,0.05475065522352277,positive,cross_domain_cv,shared_relaxed_features
4,n_adjacent_repetitions,0.2918961782034746,positive,cross_domain_cv,shared_relaxed_features
4,n_adv,0.231840368579824,positive,cross_domain_cv,shared_relaxed_features
4,n_aux,0.4963185681530798,positive,cross_domain_cv,shared_relaxed_features
